dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000187,3.573075,0.000197,0.019738,0.986891,49.344535,0.000089
0.020000,0.001123,3.573075,0.001133,0.046803,1.353237,18.317323,0.000538
0.020000,0.003229,3.573077,0.003240,0.105311,2.925445,78.610402,0.001547
0.020000,0.006740,3.573086,0.006750,0.175537,3.511253,29.290369,0.003229
0.020000,0.011655,3.573108,0.011666,0.245787,3.512533,0.064020,0.005587
0.020000,0.017977,3.573152,0.017988,0.316073,3.514273,0.087006,0.008622
0.020000,0.025704,3.573233,0.025716,0.386401,3.516420,0.107336,0.012337
0.020000,0.034839,3.573366,0.034851,0.456779,3.518904,0.124197,0.016735
0.020000,0.045381,3.573569,0.045395,0.527212,3.521637,0.136643,0.021819
0.020000,0.057332,3.573865,0.057349,0.597702,3.524512,0.143779,0.027594
0.020000,0.070690,3.574277,0.070714,0.668250,3.527404,0.144579,0.034062
0.020000,0.085457,3.574833,0.085492,0.738853,3.530162,0.137920,0.041226
0.020000,0.101631,3.575564,0.101682,0.809506,3.532617,0.122717,0.049091
0.020000,0.119209,3.576503,0.119286,0.880197,3.534571,0.097716,0.057657
0.020000,0.138191,3.577687,0.138304,0.950913,3.535805,0.061688,0.066927
0.020000,0.158571,3.579155,0.158737,1.021635,3.536072,0.013357,0.076902
0.020000,0.180344,3.580949,0.180583,1.092337,3.535102,-0.048511,0.087579
0.020000,0.203502,3.583116,0.203843,1.162989,3.532598,-0.125171,0.098956
0.020000,0.228037,3.585701,0.228514,1.233554,3.528246,-0.217596,0.111028
0.020000,0.253938,3.588756,0.254594,1.303988,3.521710,-0.326831,0.123786
0.020000,0.281189,3.592333,0.282079,1.374241,3.512642,-0.453373,0.137220
0.020000,0.309774,3.596486,0.310964,1.444254,3.500689,-0.597637,0.151314
0.020000,0.339673,3.601270,0.341243,1.513964,3.485501,-0.759396,0.166051
0.020000,0.370862,3.606744,0.372909,1.583299,3.466741,-0.938003,0.181407
0.020000,0.403315,3.612965,0.405953,1.652181,3.444098,-1.132184,0.197354
0.020000,0.437000,3.619991,0.440363,1.720527,3.417300,-1.339885,0.213861
0.020000,0.471885,3.627879,0.476128,1.788250,3.386131,-1.558452,0.230888
0.020000,0.507929,3.636686,0.513233,1.855259,3.350443,-1.784381,0.248392
0.020000,0.545093,3.646468,0.551663,1.921462,3.310173,-2.013517,0.266324
0.020000,0.583330,3.657277,0.591398,1.986769,3.265351,-2.241095,0.284628
0.020000,0.622592,3.669163,0.632420,2.051091,3.216113,-2.461913,0.303246
0.020000,0.662828,3.682172,0.674707,2.114346,3.162703,-2.670493,0.322110
0.020000,0.703985,3.696346,0.718236,2.176455,3.105474,-2.861428,0.341152
0.020000,0.746007,3.711722,0.762983,2.237353,3.044883,-3.029596,0.360297
0.020000,0.788839,3.728331,0.808923,2.296982,2.981472,-3.170522,0.379468
0.020000,0.832425,3.746200,0.856029,2.355299,2.915859,-3.280635,0.398584
